observedStorage,observedOutflow,observedWaterSupply,elevationEnd,inflow,storage,outflow,totalWaterSupply,waterSupply,elevation,totalIndoor,totalOutdoor,numOfHouseholds,population,shiftFactor,ignore,deficit,reliability,resilience,sumDeficit,nonzerodeficit,maxDeficit,averageDemand,sustainabilityindex
793916.5409808052,0.0,0.0,0.0,78242.40199890173,131669.14822168014,55537.19008264461,2878.576391246886,2878.576391246886,251.51213298587155,2.5408431301892734E8,3.6677717851634866E8,136339.0,361280.0,0.9916666666666667,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
987712.0314254918,0.0,0.0,0.0,193795.49044468658,210597.27500607504,113057.85123966941,1809.5124206224807,1809.5124206224807,257.1039167396983,2.8232548541126776E8,1.0795652476415198E8,136846.0,362553.0,0.9913333333333333,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1083534.6898496866,0.0,0.0,0.0,95822.65842419489,203195.63496064296,101157.02479338847,2067.273676238769,2067.273676238769,256.6286039925185,2.7423557103757083E8,1.7164129432694694E8,137354.0,363890.0,0.991,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1106109.5468559726,0.0,0.0,0.0,22574.857006286,125728.64949861198,97190.08264462808,2851.759823688915,2851.759823688915,251.0334079699099,2.844167066070717E8,3.3066089321634424E8,137861.0,365152.0,0.9906666666666667,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1172559.4488224809,0.0,0.0,0.0,66449.9019665082,125403.58553729311,65454.54545454545,1320.4204732816102,1320.4204732816102,251.00721214741662,2.762195981078108E8,8573338.771711504,138369.0,366397.0,0.9903333333333333,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1233558.1469722532,0.0,0.0,0.0,60998.69814977239,125380.23953226584,59504.132231404954,1517.9119233947176,1517.9119233947176,251.00533077059117,2.8647779760182774E8,4.091079060568049E7,138876.0,367713.0,0.99,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1239827.3372868367,0.0,0.0,0.0,6269.190314583461,124240.21096771388,5950.413223140496,1458.805655994913,1458.805655994913,250.9081780640691,2.874931223018768E8,2.714721803967726E7,139384.0,368934.0,0.9896666666666667,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1404381.4933833368,0.0,0.0,0.0,164554.15609650017,126573.11422903927,160661.15702479339,1560.0958103814517,1560.0958103814517,251.10146057128208,2.791976421720935E8,5.7289315310386196E7,139891.0,370257.0,0.9893333333333333,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1404353.059272529,0.0,0.0,0.0,-28.434110807759097,112517.04839765857,11900.826446280993,2126.805274291923,2126.805274291923,249.89151192061948,2.895735422282393E8,1.6914330781499285E8,140399.0,371587.0,0.989,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1408227.918368827,0.0,0.0,0.0,3874.859096297926,111835.61006796082,1983.4710743801652,2572.826351615497,2572.826351615497,249.82849163672995,2.812649492407591E8,2.7365129720022583E8,140906.0,372939.0,0.9886666666666667,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
